sentence,label,idx
at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . ,0,413
"even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy . ",0,701
collateral damage finally delivers the goods for schwarzenegger fans . ,1,834
"exciting and direct , with ghost imagery that shows just enough to keep us on our toes . ",1,821
"and when you 're talking about a slapstick comedy , that 's a pretty big problem . ",0,748
that 's pure pr hype . ,0,322
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ",1,63
worth watching for dong jie 's performance -- and for the way it documents a culture in the throes of rapid change . ,1,720
"this is a shameless sham , calculated to cash in on the popularity of its stars . ",0,687
one of the smartest takes on singles culture i 've seen in a long time . ,1,116
"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here . ",0,335
the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,1,106
"feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot . ",0,378
"for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking . ",0,800
"outer-space buffs might love this film , but others will find its pleasures intermittent . ",0,405
as vulgar as it is banal . ,0,403
a delightful coming-of-age story . ,1,815
"that dogged good will of the parents and ` vain ' jia 's defoliation of ego , make the film touching despite some doldrums . ",1,204
this nickleby thing might have more homosexual undertones than an eddie murphy film . ,0,802
"at its worst , it implodes in a series of very bad special effects . ",0,380
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1,71
"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ",0,797
"... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume . ",1,793
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",0,491
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0,49
a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . ,1,749
i 'm just too bored to care . ,0,419
"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters ",1,788
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,26
funny but perilously slight . ,1,481
a valueless kiddie paean to pro basketball underwritten by the nba . ,0,787
"anchored by friel and williams 's exceptional performances , the film 's power lies in its complexity . ",1,498
"it gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right . ",1,726
a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,0,268
"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ",1,372
sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,1,53
... with `` the bourne identity '' we return to the more traditional action genre . ,1,279
"featuring a dangerously seductive performance from the great daniel auteuil , `` sade '' covers the same period as kaufmann 's `` quills '' with more unsettlingly realistic results . ",1,458
too much of the humor falls flat . ,0,647
"the jabs it employs are short , carefully placed and dead-center . ",1,643
"this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast . ",0,814
"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1,120
"very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks . ",0,771
"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ",1,698
"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ",1,78
i thought my own watch had stopped keeping time as i slogged my way through clockstoppers . ,0,709
atom egoyan has conjured up a multilayered work that tackles any number of fascinating issues ,1,674
"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ",0,804
puts a human face on a land most westerners are unfamiliar with . ,1,605
a subject like this should inspire reaction in its audience ; the pianist does not . ,0,869
"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ",1,100
"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ",0,177
a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn . ,1,835
"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ",1,124
"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",0,133
the only excitement comes when the credits finally roll and you get to leave the theater . ,0,818
"a fast , funny , highly enjoyable movie . ",1,67
"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",1,324
it 's a remarkably solid and subtly satirical tour de force . ,1,386
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . ,1,332
"so much facile technique , such cute ideas , so little movie . ",1,656
zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight . ,0,592
"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ",1,117
"( grant 's ) bumbling magic takes over the film , and it turns out to be another winning star vehicle . ",1,725
one from the heart . ,1,744
"( director ) o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short . ",0,575
it treats women like idiots . ,0,554
"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana . ",1,222
"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,19
"every time you look , sweet home alabama is taking another bummer of a wrong turn . ",0,705
does little more than play an innocuous game of fill-in - the-blanks with a tragic past . ,0,566
`` the time machine '' is a movie that has no interest in itself . ,0,258
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ,1,768
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,27
"all that 's missing is the spontaneity , originality and delight . ",0,218
"you wo n't like roger , but you will quickly recognize him . ",0,92
"this is human comedy at its most amusing , interesting and confirming . ",1,718
it 's a lovely film with lovely performances by buy and accorsi . ,1,762
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,20
"vera 's three actors -- mollà , gil and bardem -- excel in insightful , empathetic performances . ",1,723
it 's refreshing to see a girl-power movie that does n't feel it has to prove anything . ,1,400
"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners . ",1,499
it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,1,341
"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . ",0,365
"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ",1,443
"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting . ",0,598
what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,0,107
"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",0,350
a wildly inconsistent emotional experience . ,0,843
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0,37
reggio 's continual visual barrage is absorbing as well as thought-provoking . ,1,470
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,3
"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . ",1,192
chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama . ,0,659
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",1,60
my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it 's virtually its own hollywood remake . ,1,638
there 's no emotional pulse to solaris . ,0,542
big fat waste of time . ,0,599
the cold turkey would 've been a far better title . ,0,57
it 's a bad thing when a movie has about as much substance as its end credits blooper reel . ,0,181
this movie seems to have been written using mad-libs . ,0,229
"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise . ",1,594
another in-your-face wallow in the lower depths made by people who have never sung those blues . ,0,395
if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you . ,1,339
director andrew niccol ... demonstrates a wry understanding of the quirks of fame . ,1,387
"pacino is brilliant as the sleep-deprived dormer , his increasing weariness as much existential as it is physical . ",1,186
"good film , but very glum . ",1,667
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,15
an infectious cultural fable with a tasty balance of family drama and frenetic comedy . ,1,769
a deep and meaningful film . ,1,320
bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,1,803
"while undisputed is n't exactly a high , it is a gripping , tidy little movie that takes mr. hill higher than he 's been in a while . ",1,480
"while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor . ",1,425
"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem . ",0,568
a subtle and well-crafted ( for the most part ) chiller . ,1,47
"mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . ",0,390
"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0,105
( a ) n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s . ,1,714
"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ",0,399
"adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . ",0,471
just embarrassment and a vague sense of shame . ,0,632
"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ",1,102
richard gere and diane lane put in fine performances as does french actor oliver martinez . ,1,666
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool . ",0,411
"uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions . ",0,160
the problem with this film is that it lacks focus . ,0,474
the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,1,80
"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers . ",0,536
to call the other side of heaven `` appalling '' would be to underestimate just how dangerous entertainments like it can be . ,0,376
"this re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against . ",0,642
"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show . ",0,370
plays like a volatile and overlong w magazine fashion spread . ,0,516
